X,Y,apn,OBJECTID,licenseNumber,licenseType,licenseStatus,liquorType,issueDate,expirationYear,expirationDate,licenseName,address,endorsements,ward,neighborhood,lat,long,xWebMercator,yWebMercator,lastUpdateDate
-93.2774417903412,44.9628447031205,2702924430061,37,LIC354271,BLWine,Pending,On Sale,2020/04/06 08:57:00+00,2021,2021/04/01 23:59:00+00,Cajun Boiling,1931 NICOLLET AVE," Wine, On Sale, Add Strong Beer; Wine, On Sale, Class E Entertainment; Wine, On Sale, No Entertainment",6,Steven's Square - Loring Heights,44.96284,-93.27744,-10383597.3226,5615674.0405,2021/01/19 18:15:17+00
-93.297318063438,44.9474261957242,0402824120216,38,LIC65463,BLWine,Pending,On Sale,2020/12/28 10:31:06+00,2021,2021/04/01 00:00:00+00,Kitchen Window,3001 HENNEPIN AVE," Wine, On Sale, Class E Entertainment; Wine, On Sale, Add Strong Beer; Wine, On Sale, No Entertainment",10,South Uptown,44.94743,-93.29732,-10385809.9392,5613248.6105,2021/01/18 18:15:25+00
-93.2656784648834,44.9813915731593,2302924320012,39,LIC107136,BLWine,Pending,On Sale,2020/04/14 15:53:45+00,2021,2021/04/01 23:59:00+00,Penny's Coffee,100 WASHINGTON AVE S #100," Wine, On Sale, Add Strong Beer; Wine, On Sale, Class D Entertainment; Wine, On Sale, Limited Entertainment",3,Downtown West,44.98139,-93.26568,-10382287.8352,5618592.4458,2021/01/19 18:15:17+00
-93.3150095322541,44.9244734377601,0802824420099,40,LIC344318,BLWine,Pending,On Sale,2020/03/23 08:59:37+00,2021,2021/04/01 23:59:59+00,ZUMBRO CAFE,2803 43RD ST W," Wine, On Sale, Class E Entertainment; Wine, On Sale, Add Strong Beer; Wine, On Sale, No Entertainment",13,Linden Hills,44.92447,-93.31501,-10387779.3445,5609639.2011,2021/01/19 18:15:17+00
-93.2459615349517,45.0043817390099,1302924220088,41,LIC344130,BLWine,Pending,On Sale,2020/04/14 15:53:40+00,2021,2021/04/01 00:00:00+00,Minnsky Theatre,1517 CENTRAL AVE NE," Wine, On Sale, Class A Entertainment; Wine, On Sale, Add Strong Beer; Wine, On Sale, General Entertainment",1,Northeast Park,45.00438,-93.24596,-10380092.9566,5622211.3277,2021/01/18 18:15:25+00
-93.246846838139,44.9724631507313,2502924230082,42,LIC344607,BLWine,Pending,On Sale,2020/03/23 08:59:35+00,2021,2021/04/01 23:59:00+00,THEATRE IN THE ROUND,245 CEDAR AVE S," Wine, On Sale, Class A Entertainment; Wine, On Sale, Add Strong Beer; Wine, On Sale, General Entertainment",6,Cedar Riverside,44.97246,-93.24685,-10380191.5081,5617187.4141,2021/01/19 18:15:17+00
-93.2840692155544,44.9339455581366,1002824220115,43,LIC350844,BLWine,Pending,On Sale,2020/04/06 08:58:01+00,2021,2021/04/01 00:00:00+00,RINCON 38,3801 GRAND AVE S," Wine, On Sale, Add Strong Beer; Wine, On Sale, Class C2 Entertainment; Wine, On Sale, Limited Entertainment",8,King Field,44.93395,-93.28407,-10384335.0842,5611128.5536,2021/01/18 18:15:25+00
-93.269035793392,44.9829568660582,2202924410131,44,LIC65394,BLWine,Pending,On Sale,2020/04/06 08:57:53+00,2021,2021/04/01 00:00:00+00,WHOLE FOODS MARKET,222 HENNEPIN AVE #A," Wine, On Sale, Class E Entertainment; Wine, On Sale, Add Strong Beer; Wine, On Sale, Culinary Classes; Wine, On Sale, No Entertainment",3,North Loop,44.98296,-93.26904,-10382661.5713,5618838.7925,2021/01/18 18:15:25+00
-93.2623177398447,44.9013598492301,2302824240190,45,LIC373605,BLWine,Pending,On Sale,2019/05/07 08:04:14+00,2020,2020/04/01 23:59:00+00,Guavas Cuban Cafe,5607 CHICAGO AVE," Wine, On Sale, Class E Entertainment; Wine, On Sale, Add Strong Beer; Wine, On Sale, No Entertainment",11,Diamond Lake,44.90136,-93.26232,-10381913.721,5606005.9575,2020/07/10 18:15:17+00
-93.2231291559866,44.9732063437684,3002923230157,46,LIC66241,BLWine,Pending,On Sale,2020/04/14 15:53:28+00,2021,2021/04/01 00:00:00+00,BLAZE PIZZA,1000 WASHINGTON AVE SE," Wine, On Sale, Class E Entertainment; Wine, On Sale, Add Strong Beer; Wine, On Sale, No Entertainment",2,Prospect Park - East River Road,44.97321,-93.22313,-10377551.2678,5617304.3592,2021/01/18 18:15:25+00
-93.2334069078146,44.9481120301363,0102824120098,47,LIC65831,BLWine,Pending,On Sale,2020/04/06 08:57:36+00,2021,2021/04/01 00:00:00+00,Floating World Cafe,2629 LAKE ST E," Wine, On Sale, Class E Entertainment; Wine, On Sale, Add Strong Beer; Wine, On Sale, No Entertainment",2,Longfellow,44.94811,-93.23341,-10378695.3819,5613356.4828,2021/01/18 18:15:25+00
-93.2300699135708,44.9342736560281,0102824440074,48,LIC65360,BLWine,Pending,On Sale,2019/04/23 07:50:40+00,2020,2020/04/01 00:00:00+00,CARDINAL BAR,2920 38TH ST E," Wine, On Sale, Class C2 Entertainment; Wine, On Sale, Add Strong Beer; Wine, On Sale, Limited Entertainment",12,Standish,44.93427,-93.23007,-10378323.9094,5611180.1466,2020/01/21 18:15:18+00
-93.2622808900534,44.9380165611176,0202824310087,49,LIC66105,BLWine,Pending,On Sale,2020/04/06 08:57:21+00,2021,2021/04/01 00:00:00+00,Jakeenos Pizza & Pasta,3555 CHICAGO AVE," Wine, On Sale, Class E Entertainment; Wine, On Sale, Add Strong Beer; Wine, On Sale, No Entertainment",9,Powderhorn Park,44.93802,-93.26228,-10381909.6189,5611768.7348,2021/01/18 18:15:25+00
-93.2476622353291,44.9393912291803,0202824410199,50,LIC65468,BLWine,Pending,On Sale,2020/03/23 08:59:30+00,2021,2021/04/01 00:00:00+00,MATT'S BAR,3500 CEDAR AVE S," Wine, On Sale, Class E Entertainment; Wine, On Sale, Add Strong Beer; Wine, On Sale, No Entertainment",9,Powderhorn Park,44.93939,-93.24766,-10380282.2777,5611984.917,2021/01/18 18:15:25+00
-93.2762822530573,44.9479113681377,0302824120146,51,LIC66069,BLWine,Pending,On Sale,2020/04/06 08:57:39+00,2021,2021/04/01 00:00:00+00,HIBACHI BUFFET,111 LAKE ST E," Wine, On Sale, Class E Entertainment; Wine, On Sale, Add Strong Beer; Wine, On Sale, No Entertainment",8,Lyndale,44.94791,-93.27628,-10383468.2435,5613324.9213,2021/01/18 18:15:25+00
